site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,spec_cond_uSpercm,tpc_uM,tpn_uM,tpp_uM
AB00,2004-02-18T09:05:00Z,18.1,94.8,1.9,165.2,3.2,1199,NA,NA,NA
AT07,2005-05-11T08:58:00Z,0.8,1.2,0.4,22.2,3.2,1789,NA,NA,NA
GV01,2006-03-06T18:18:00Z,0.2,3.3,0.8,19.2,0.9,NA,NA,NA,NA
ON02,2005-02-07T13:31:00Z,0.3,30.4,1.2,49.1,0.3,947,NA,NA,NA
AT07,2006-04-03T13:32:00Z,6,22.5,5.8,54.8,6.7,337,NA,NA,NA
MC00,2006-04-04T22:32:00Z,1.5,50.8,4.4,90.7,5.5,334,NA,NA,NA
ON02,2006-04-05T10:46:00Z,1.3,79.2,1.3,112.6,2.8,418,NA,NA,NA
BC02,2009-04-07T18:05:00Z,2.3,438,1.6,583,5.4,1948,NA,NA,NA
RS02,2008-02-25T15:50:00Z,0.3,2,0.6,9.1,0.4,NA,NA,NA,NA
ON02,2005-03-23T01:03:00Z,2.5,223.1,1.1,242.6,0.8,437,NA,NA,NA
ON02,2006-03-29T18:09:00Z,1.4,36.1,0.7,53.2,0.9,725,NA,NA,NA
AB00,2005-01-07T09:52:00Z,3.5,36.1,14.8,54.5,9.6,309,NA,NA,NA
SP02,2009-02-17T00:05:00Z,8.6,147.6,9.7,213.2,10.5,384,NA,NA,NA
AB00,2005-01-11T16:04:00Z,0.1,142.2,8.7,162.1,1,650,NA,NA,NA
MC06,2012-03-26T02:00:00Z,0.2,17.6,1.5,31.9,1.3,682,NA,NA,NA
RG01,2012-02-07T07:00:00Z,4.2,53.9,0.8,82,0.9,949,NA,NA,NA
AT07,2007-02-10T21:36:00Z,11.3,31.3,6.9,141.9,9.6,595,NA,NA,NA
RG01,2004-10-26T16:38:00Z,1.4,30,5.1,89.2,4.2,1840,212,15.7,6.9
RG01,2006-03-05T09:54:00Z,0.5,97.3,0.7,106.9,0.7,1364,NA,NA,NA
GV01,2005-05-05T18:12:00Z,0.2,18.7,2.4,45.9,8.9,1188,973.1,90.7,173.4
AB00,2008-01-04T18:09:00Z,3.2,60.3,14.1,96.7,11.8,267,NA,NA,NA
MC00,2009-02-05T10:10:00Z,0.3,70.7,4.1,143.9,5.9,644,NA,NA,NA
TO02,2008-01-27T13:25:00Z,0.9,121.4,1.6,157.9,1.7,222,NA,NA,NA
DV01,2006-05-21T19:50:00Z,3.1,369.5,1.3,378.4,2.1,1028,NA,NA,NA
RS02,2003-11-09T07:02:00Z,0.4,3.4,1.9,18,1.7,834,NA,NA,NA
DV01,2005-01-28T11:17:00Z,0.2,122.6,4.4,164.6,4.4,2442,NA,NA,NA
MC00,2005-01-11T05:25:00Z,0.3,69,4.2,91.9,3.4,280,4336.9,275.8,32.8
GV01,2006-03-20T23:28:00Z,0.6,0.9,1.3,19,2.9,1118,NA,NA,NA
AB00,2001-11-12T14:30:00Z,13.2,73.2,9.3,184.8,8.4,NA,630.7,56.3,27.2
GV01,2003-11-01T15:20:00Z,0.3,8,1.4,42.6,2.4,1373,NA,NA,NA
AB00,2005-02-21T09:17:00Z,1.4,87.8,20.7,131.2,18.6,373,NA,NA,NA
MC00,2004-04-14T10:24:00Z,3.3,52.8,1.5,77.8,1.4,1399,NA,NA,NA
MC00,2005-04-28T18:21:00Z,0.3,23.3,1.9,45.9,1.1,797,40.5,5,0.4
BC02,2009-02-17T05:45:00Z,17,127,1.8,190.5,2.7,405,NA,NA,NA
AB00,2001-11-24T11:30:00Z,13.3,158.2,10.4,216.9,6.8,NA,3031.4,268,12.4
AB00,2003-03-15T08:20:00Z,0.4,69.5,31.2,259.8,53.7,301,5943.3,586.7,339.7
RS02,2008-01-26T23:30:00Z,1.2,195.1,4.3,210.3,5.1,469,NA,NA,NA
AT07,2005-05-05T17:15:00Z,10.2,45,6.8,76.9,4.2,578,NA,NA,NA
AB00,2003-08-28T11:22:00Z,0.8,48.3,2.6,73,1.7,2482,16.4,1.9,NA
MC06,2010-02-27T06:00:00Z,2.3,146.3,3.5,196.5,5.4,236,NA,NA,NA
ON02,2009-02-17T22:10:00Z,0.2,20.4,0.4,26.6,0.4,975,NA,NA,NA
MC00,2005-01-11T10:19:00Z,0.1,79,4.2,93,2.7,319,470.5,27.7,8.2
BC02,2005-01-02T10:40:00Z,1.6,379.7,4,386.5,3.1,830,NA,NA,NA
GV01,2004-12-06T15:42:00Z,1.1,11.6,2.3,43.3,3.5,1677,245.6,22.5,2.8
SP02,2011-02-21T02:25:00Z,0.3,99,2.6,140.6,3.7,332,NA,NA,NA
RG01,2005-02-22T12:02:00Z,0.5,82.2,8.5,113.2,6.9,359,2107.7,145.8,76.1
RG01,2008-01-08T05:15:00Z,0.9,189.2,0.6,205.6,1.1,1037,NA,NA,NA
ON02,2006-03-06T13:28:00Z,0.6,17.7,1.4,23,0.8,763,NA,NA,NA
MC00,2005-01-09T14:22:00Z,1,69.4,14.3,93.6,10.7,192,4015.3,292.7,72.7
GV01,2006-03-02T13:14:00Z,0.1,12.5,1.3,19.6,0.4,1363,NA,NA,NA
AB00,2009-02-05T23:45:00Z,0.1,30.4,4,64,5.8,NA,NA,NA,NA
RS02,2008-12-15T10:30:00Z,4.3,37.6,3.1,78.3,3.7,932,NA,NA,NA
ON02,2009-02-18T18:15:00Z,0.3,5.8,0.4,11.8,0.5,1014,NA,NA,NA
MC00,2011-02-21T05:55:00Z,1,25.1,1.6,62.8,3,1234,NA,NA,NA
GV01,2007-02-23T04:58:00Z,0.3,1,1.1,98.8,1.3,1361,NA,NA,NA
GV01,2002-12-09T14:23:00Z,0.1,0.8,3.2,12.4,2.2,1465,5.9,0.7,NA
GV01,2005-01-30T12:32:00Z,0.1,43.5,5,61.5,2,1488,NA,NA,NA
RG01,2005-11-09T06:28:00Z,0.5,120.8,3.5,134.6,3.1,1316,NA,NA,NA
ON02,2005-01-02T15:05:00Z,12.5,397.4,2.4,421.4,1.4,747,NA,NA,20.8
RG01,2004-10-19T13:30:00Z,0.4,3.5,3.1,72.2,4,2666,152.8,12.9,0.3
RG01,2012-03-17T05:00:00Z,0.5,10,1.4,45.4,1.1,155,NA,NA,NA
GV01,2005-01-03T18:29:00Z,0.1,93.3,5.2,121.2,3.3,740,1916.1,166,227.3
RG01,2008-01-25T08:50:00Z,0.7,189.8,1,207.7,1.4,567,NA,NA,NA
AB00,2005-01-09T22:38:00Z,0.5,118.7,19.9,140,5.4,405,NA,NA,NA
ON02,2006-02-01T12:58:00Z,0.7,0.7,0.4,17.7,0.6,1016,NA,NA,NA
MC00,2003-01-29T16:00:00Z,0.3,81.5,1.6,105.8,3.1,1477,11.6,1.8,0.2
RG01,2007-01-28T19:21:00Z,0.6,75.3,1.3,129.6,1.7,1910,NA,NA,NA
MC00,2004-12-30T10:18:00Z,1.4,160.6,6.7,152.6,2.6,699,134.1,9.1,1
MC00,2005-12-05T11:16:00Z,0.4,107.1,2.1,139.8,1.9,1235,NA,NA,NA
MC00,2006-04-03T21:47:00Z,3.1,45.3,8,90.2,8.6,237,NA,NA,NA
AB00,2003-04-17T10:53:00Z,11.4,51.6,3.5,89.5,5.2,1886,19.6,2.5,NA
AB00,2002-09-09T17:10:00Z,0.8,48.1,1.9,77.6,2.7,1849,NA,NA,NA
RS02,2006-03-11T16:22:00Z,0.4,9.3,1.2,10.2,0.2,631,NA,NA,NA
AT07,2009-02-08T11:30:00Z,3.1,61,7.6,100.1,7.6,NA,NA,NA,NA
GV01,2004-12-31T16:46:00Z,0.1,153.8,6.1,181.9,3.5,540,4857.2,427.4,436.1
GV01,2006-04-03T08:00:00Z,0.9,1.5,0.8,15.3,0.5,1216,NA,NA,NA
MC00,2001-02-11T08:35:00Z,5.5,46.3,5.3,86.6,2.8,NA,NA,NA,NA
GV01,2005-03-14T15:20:00Z,0.7,33.5,4.2,53.2,0.8,1339,211.3,23.1,0.3
MC00,2005-02-23T19:36:00Z,0.2,62.4,3.1,89.2,1.9,435,885.4,75.9,8.4
BC02,2009-02-16T11:55:00Z,23.1,183,6.7,261.5,9.2,377,NA,NA,NA
AB00,2002-12-20T00:18:00Z,1.6,73.4,31.6,110.7,40.2,239,3686.6,344,221.3
RS02,2005-02-21T21:35:00Z,0.1,53.1,1.8,64.1,2.1,258,NA,NA,NA
SP02,2009-02-17T13:00:00Z,10.8,298.9,6.4,331.7,7.2,444,NA,NA,NA
SP02,2009-05-04T13:00:00Z,4.3,22.4,3.4,73.8,5.4,NA,NA,NA,NA
SP02,2012-01-21T03:20:00Z,2,81.2,4.5,107.8,5.4,247,NA,NA,NA
TO02,2007-01-28T07:40:00Z,0.1,31,NA,270.6,0.2,1883,NA,NA,NA
MC00,2006-04-14T16:32:00Z,2.5,30,6.5,57.5,8.5,459,NA,NA,NA
MC06,2001-11-24T13:00:00Z,0.1,57.3,10.3,107.2,9.6,NA,3823.2,241.4,22.3
BC02,2009-02-18T16:30:00Z,40.5,319,2.8,505.7,3,900,NA,NA,NA
GV01,2004-12-27T17:16:00Z,2.6,95.8,7,140.3,7.7,526,6764.4,210.6,240.6
GV01,2011-10-12T10:30:00Z,0.6,NA,1,17.7,0.9,1708,NA,NA,NA
BC02,2005-12-02T16:45:00Z,0.1,1495.3,2.5,1543.3,2.4,2262,NA,NA,NA
AB00,2005-03-23T10:50:00Z,4.9,125.1,5.4,137.2,1.7,1255,NA,NA,NA
RG01,2004-04-14T12:07:00Z,0.8,22.3,0.9,48.8,0.5,2276,NA,NA,NA
GV01,2004-12-31T05:15:00Z,1.6,53.8,59.3,89.3,19.1,426,29709.7,2715.1,3248.5
AB00,2008-01-28T14:07:00Z,0.3,146.3,2.6,185.1,2.5,623,NA,NA,NA
ON02,2005-01-07T13:05:00Z,5.6,257.2,3.7,296.6,3.5,282,10536.7,1131.1,258.9
AT07,2005-01-09T02:00:00Z,2.5,183.8,11.8,120.3,14.3,490,NA,NA,NA
AT07,2006-03-28T13:55:00Z,3.3,26.4,4.5,54.4,4.8,419,NA,NA,NA
AT07,2005-06-08T12:56:00Z,1.3,215.1,4.1,237.9,4.3,1714,NA,NA,NA
SP02,2009-02-19T04:00:00Z,6.9,145.4,4.2,178.7,4.2,876,NA,NA,NA
GV01,2003-11-11T11:30:00Z,0.5,1.7,2.3,15.6,2.5,1702,NA,NA,NA
RS02,2006-03-27T19:46:00Z,1.9,1.4,0.3,11,1.5,716,NA,NA,NA
GV01,2009-02-05T20:00:00Z,0.2,0.7,0.9,16.8,1.1,1456,NA,NA,NA
TO02,2006-02-27T11:06:00Z,0.3,447.5,0.6,475.4,0.4,1357,NA,NA,NA
RS02,2006-03-03T21:17:00Z,0.5,2.8,0.7,12.2,0.8,626,NA,NA,NA
GV01,2003-10-31T18:56:00Z,1.3,13.8,2.1,44.7,2.6,1513,NA,NA,NA
AB00,2004-12-07T08:30:00Z,1.7,47.1,1.8,87,2.1,1436,NA,NA,NA
ON02,2006-04-15T00:36:00Z,0.6,48.8,0.7,49,1,784,NA,NA,NA
MC00,2005-01-09T22:55:00Z,0.3,75.3,5.8,101.1,5.9,226,1474.5,112.6,28.1
AB00,2008-12-16T04:35:00Z,4.6,50.7,4.9,94.5,5.3,1088,NA,NA,NA
SP02,2009-02-13T13:15:00Z,16.6,206,19.9,304.8,23.2,484,NA,NA,NA
RS02,2006-05-22T18:32:00Z,0.8,0.5,0.4,3.2,2.7,627,NA,NA,NA
RS02,2009-10-13T23:05:00Z,34.9,44.3,1.2,126,2.8,701,NA,NA,NA
BC02,2005-02-22T14:14:00Z,2,132.6,13.4,184.4,12.9,419,NA,NA,NA
SP02,2011-02-20T10:25:00Z,1.6,50.4,3.7,107.3,4.1,438,NA,NA,NA
ON02,2009-02-16T22:34:00Z,0.2,44.9,0.2,64.1,0.4,780,NA,NA,NA
MC00,2009-03-04T12:45:00Z,1.5,27.2,3.7,60.9,4.2,343,NA,NA,NA
GV01,2009-02-07T02:00:00Z,1.7,0.9,2,20.9,1.4,997,NA,NA,NA
GV01,2003-05-02T14:45:00Z,0.7,1.4,1.8,9.6,1.7,1317,30.1,2.5,NA
GV01,2005-02-28T15:02:00Z,0.1,52.9,5.7,67.4,1.7,999,922.1,68.5,177.4
AB00,2001-11-29T03:30:00Z,14.9,98.1,8.2,140.8,4.3,NA,28.6,3,1.8
BC02,2011-02-17T16:57:00Z,1.1,160.8,4.7,204.4,6,703,NA,NA,NA
BC02,2006-08-23T09:45:00Z,0.4,3970.2,1.4,1291.4,1.8,2775,NA,NA,NA
AB00,2002-03-14T11:46:00Z,4.8,44.3,0.9,76.2,1.6,NA,28.1,3.5,0.6
MC00,2006-09-06T15:33:00Z,0.9,69.8,2.4,84.6,1.1,1235,NA,NA,NA
HO00,2003-01-23T14:58:00Z,0.2,5.1,1.1,22.6,2.3,1176,4.5,0.6,NA
RG01,2002-02-20T12:24:00Z,0.2,119.3,1.2,132.3,2.2,NA,17.6,2.6,NA
AB00,2011-04-29T08:55:00Z,6.3,49.6,0.6,91.5,1,2020,NA,NA,NA
RG01,2007-02-22T19:55:00Z,0.4,184.7,5.7,243.1,3.8,1311,NA,NA,NA
GV01,2004-12-05T23:42:00Z,0.3,15.8,2.6,45.7,3.5,1636,750,117.5,14.2
DV01,2004-02-21T13:09:00Z,12.9,34.6,3.4,98.9,5.5,6535,NA,NA,NA
SP02,2009-03-04T06:45:00Z,15.4,170.3,12,260.6,8.1,444,NA,NA,NA
MC06,2009-12-13T11:30:00Z,5.9,276.3,4.3,340.7,3.8,576,NA,NA,NA
ON02,2004-10-25T14:58:00Z,28.3,2.8,3.9,86.3,3.8,1282,24.7,2.7,0.5
AB00,2002-12-19T22:36:00Z,1.2,27.6,18.7,62.3,27.8,215,1921.2,182.5,154.8
BC02,2005-03-18T17:30:00Z,0.1,583,1.6,581.2,0.7,1473,NA,NA,NA
BC02,2009-04-15T12:00:00Z,0.3,494.2,1.4,668.6,1.3,2479,NA,NA,NA
MC00,2006-12-09T21:35:00Z,42.2,79.9,14.4,204,15.4,4579,NA,NA,NA
RG01,2003-03-13T12:55:00Z,0.1,90.1,0.7,103.3,1.2,1426,23.8,2.7,NA
BC02,2005-12-13T09:45:00Z,1.4,1854.4,1.8,2061.4,1.5,2490,NA,NA,NA
GV01,2006-03-19T23:28:00Z,0.2,1.6,0.3,16.1,2,1427,NA,NA,NA
MC00,2004-12-28T22:21:00Z,1.3,79.9,3.9,104,2.9,227,819.3,51.7,6.6
MC00,2008-01-27T00:02:00Z,1.9,36.1,4.1,67.5,5,183,NA,NA,NA
RG01,2009-02-07T01:40:00Z,0.1,121.1,1.1,135.3,1,2287,NA,NA,NA
MC00,2005-01-11T06:30:00Z,0.3,72.6,4.6,94.2,3.4,292,942.4,56.3,8.1
DV01,2005-01-02T17:30:00Z,5.3,59.8,20.1,154.7,19.6,819,NA,NA,NA
AB00,2002-09-24T18:30:00Z,1.9,38.5,2.6,73.1,3.7,2160,NA,NA,NA
HO00,2005-12-12T09:24:00Z,0.7,2.8,0.3,9,0.3,1042,NA,NA,NA
GV01,2003-10-21T10:12:00Z,0.6,1.7,1.7,17.1,2.1,1496,NA,NA,NA
MC00,2006-03-03T07:30:00Z,1.1,12.5,2.7,46.8,2.8,268,NA,NA,NA
MC00,2005-03-22T16:17:00Z,0.7,75.2,11.5,131,12.4,279,1655.1,115.4,25.5
RG01,2005-01-06T05:59:00Z,0.2,181.1,1.6,198.9,0.9,694,NA,NA,NA
AT07,2006-04-04T00:40:00Z,2.6,69.6,13.4,123.2,15.2,392,NA,NA,NA
BC02,2010-04-09T11:15:00Z,1.1,NA,3.2,1014,4.3,942,NA,NA,NA
AT07,2006-11-13T15:05:00Z,1,116.8,18.3,175.1,12,883,NA,NA,NA
TO02,2008-01-27T05:20:00Z,0.6,136.3,3,158.5,2.5,240,NA,NA,NA
AT07,2004-10-18T09:52:00Z,19.6,120.8,18.4,417.3,30.1,1210,NA,NA,NA
MC00,2010-12-22T04:19:00Z,0.8,64.9,9.9,110,11,327,NA,NA,NA
AT07,2006-03-03T07:18:00Z,1.7,32.6,5.7,58.8,4.9,340,NA,NA,NA
GV01,2007-02-23T06:58:00Z,0.2,0.8,1.1,98.4,1.2,1350,NA,NA,NA
AT07,2007-01-27T14:51:00Z,7.9,48.7,6.5,135.1,9.8,141,NA,NA,NA
AB00,2002-11-09T13:54:00Z,4.6,142.8,13.8,324.9,23.7,965,219.6,20.3,3.6
GV01,2005-04-06T13:38:00Z,0.6,32.4,2.5,45.3,0.4,1384,98.9,12.6,29.4
ON02,2004-12-31T03:10:00Z,9.5,236.4,10.3,282.8,1.3,277,23255.2,2945.8,1292.6
MC00,2012-04-13T14:00:00Z,0.8,32.3,5.1,63.1,4.2,358,NA,NA,NA
GV01,2003-10-31T15:56:00Z,0.4,29.9,1.9,112.8,2.5,1473,NA,NA,NA
AB00,2004-10-26T08:48:00Z,18.7,42.5,4.7,97.3,4.2,2116,NA,NA,NA
RS02,2008-12-17T13:20:00Z,0.6,2.9,0.7,20.7,2.1,1035,NA,NA,NA
ON02,2009-02-18T02:10:00Z,0.2,21.8,0.3,21.1,0.3,983,NA,NA,NA
ON02,2006-02-28T01:20:00Z,0.1,71.5,1.3,94.5,1.1,284,NA,NA,NA
RS02,2005-03-14T16:59:00Z,0.3,NA,1,10.4,0.1,562,NA,NA,NA
AB00,2004-02-02T18:30:00Z,19.8,66.8,6.7,144.7,8,391,NA,NA,NA
DV01,2005-10-26T14:30:00Z,5,1.9,15.6,74.5,14.4,3335,NA,NA,NA
MC00,2003-05-14T16:03:00Z,0.3,40.8,1.2,58.6,2,1350,13.2,1.4,NA
AB00,2003-11-01T17:22:00Z,19.1,93.7,8.2,212.2,9.5,1197,NA,NA,NA
AB00,2004-12-05T16:19:00Z,7.3,219.2,5.5,266.5,5.3,1254,NA,NA,NA
AT07,2006-04-04T20:21:00Z,2.3,47.5,9.1,94.9,10.3,481,NA,NA,NA
MC00,2006-04-08T09:44:00Z,0.8,35.5,0.6,46.6,0.7,742,NA,NA,NA
AT07,2005-01-09T09:59:00Z,1.3,242.2,19.6,124.6,19.2,446,NA,NA,NA
RG01,2006-01-05T04:44:00Z,1.2,136.9,0.4,164.7,0.7,1400,NA,NA,NA
RG01,2004-10-26T13:38:00Z,2.6,22.3,3.2,52.5,2.6,158,670.6,35.5,14.2
GV01,2009-02-06T06:00:00Z,0.1,1.2,0.6,20.7,0.8,1267,NA,NA,NA
GV01,2004-09-01T10:20:00Z,0.4,NA,1.6,25.1,5.5,1651,NA,NA,NA
MC00,2002-01-27T17:20:00Z,1.5,36.3,4.1,79.5,8.8,NA,541.3,35.1,3.1
RG01,2005-01-08T15:59:00Z,0.1,82,12.8,113.1,4.5,301,2868.8,256.3,109.6
RS02,2007-05-31T14:11:00Z,0.5,1.8,NA,22.5,1.4,1191,NA,NA,NA
RS02,2008-01-25T02:13:00Z,2.2,123.4,0.4,126.5,1.6,311,NA,NA,NA
RS02,2005-01-28T07:52:00Z,0.1,7.6,1.9,8.1,0.3,582,NA,NA,NA
RS02,2004-10-19T22:46:00Z,0.2,80,1.8,133.4,2.6,453,NA,NA,NA
GV01,2009-02-06T11:00:00Z,0.2,0.7,0.8,19.4,1.5,1324,NA,NA,NA
RS02,2008-12-15T17:30:00Z,6.1,38.7,2.7,78.5,3,826,641.5,54.8,NA
AB00,2008-01-05T15:01:00Z,0.5,201.2,2.9,231.9,3.3,811,NA,NA,NA
DV01,2003-11-01T16:00:00Z,41.1,70.7,9,239.4,11.1,2294,NA,NA,NA
AB00,2001-12-20T07:00:00Z,11.2,172.3,2.4,235.8,3,NA,20.9,2.8,NA
AB00,2003-05-03T18:28:00Z,0.5,36.1,5.8,67,6.4,660,333.3,33.2,NA
MC00,2002-03-14T11:33:00Z,1,72.2,1.9,93.8,3.1,NA,15.7,1.6,0.2
AB00,2011-11-20T15:45:00Z,0.4,41.5,5.5,68.1,5.4,443,NA,NA,NA
AB00,2005-01-02T10:23:00Z,3.9,76.4,5.5,102.7,5.8,409,NA,NA,NA
BC02,2007-05-31T14:47:00Z,0.7,1526.7,0.9,137.2,2.6,2630,NA,NA,NA
TO02,2008-01-22T22:45:00Z,0.1,132,0.6,138.8,1,1189,NA,NA,NA
BC02,2006-03-05T20:19:00Z,0.5,566.8,1.4,574.1,1.1,1392,NA,NA,NA
RS02,2008-01-26T08:18:00Z,0.5,95.1,0.3,114.2,0.4,423,NA,NA,NA
BC02,2009-02-18T19:30:00Z,39.8,318,2.8,494.5,3,915,NA,NA,NA
MC00,2011-11-12T06:15:00Z,3.2,71,5.4,113.7,5.8,447,NA,NA,NA
ON02,2005-03-22T21:04:00Z,2.5,208.4,0.8,240.2,0.7,388,6493.7,816.5,1686.1
MC00,2009-02-16T22:59:00Z,0.5,52.1,7.3,82.5,7.3,687,NA,NA,NA
RS02,2007-10-10T10:17:00Z,1,1.8,0.3,3.2,0.3,NA,NA,NA,NA
RG01,2007-02-23T02:55:00Z,1.9,147.2,3.8,210.9,3.7,1627,NA,NA,NA
RS02,2012-03-25T18:15:00Z,0.2,NA,1.4,17.6,1.7,608,NA,NA,NA
DV01,2005-12-18T12:10:00Z,18.8,6.4,5.7,81.2,8.4,4446,NA,NA,NA
RG01,2005-02-20T14:05:00Z,0.1,92.3,1.7,115.5,1.1,533,NA,NA,7.2
MC00,2003-10-31T19:41:00Z,44.2,72.7,15,208.9,17,164,NA,NA,NA
MC00,2004-02-20T09:52:00Z,0.2,65.9,3.2,92.8,5,909,NA,NA,NA
RG01,2006-02-27T23:18:00Z,0.5,164,6.9,192.2,7.3,601,NA,NA,NA
RS02,2002-03-26T14:07:00Z,0.4,2.4,2.2,5.9,5.1,NA,4.4,0.6,NA
MC06,2002-12-16T17:29:00Z,0.1,171.1,5.4,207.2,6.9,510,920.7,68.3,6.9
BC02,2004-11-24T15:20:00Z,1,1716.5,3.6,2179.5,3,4131,NA,NA,NA
DV01,2003-12-24T19:00:00Z,1.8,66.7,8,147.9,9,4048,NA,NA,NA
AB00,2005-09-06T10:10:00Z,2,113.5,1.8,133.3,1,2661,NA,NA,NA
RG01,2008-11-26T02:55:00Z,8,43.2,2,90.3,1.5,307,NA,NA,NA
RS02,2005-02-18T09:55:00Z,0.2,8.3,1.8,10,0.4,554,NA,NA,NA
RS02,2009-03-12T15:50:00Z,0.8,3.6,1,18.2,1.1,871,NA,NA,NA
AT07,2006-04-17T16:44:00Z,0.2,123.1,2.4,103.6,5.4,2419,NA,NA,NA
AB00,2005-01-10T00:06:00Z,0.5,102.5,14.7,113.2,4.2,447,NA,NA,NA
MC00,2005-02-17T18:39:00Z,0.1,24.6,2.1,46.1,2.3,476,NA,NA,1.2
GV01,2005-02-18T12:58:00Z,1.3,29.5,4.3,61.8,2.7,1026,477.1,40.9,58.6
RG01,2009-02-06T16:40:00Z,0.1,41.1,0.1,62.6,0.4,2652,NA,NA,NA
RS02,2006-04-03T14:07:00Z,1,2.1,1,15.6,0.6,525,NA,NA,NA
MC00,2005-02-18T23:48:00Z,0.8,25.5,2.5,44.5,2.8,378,NA,NA,7.8
AT07,2006-03-18T15:51:00Z,1.5,58.7,4.3,86.5,4.8,1145,NA,NA,NA
GV01,2006-03-28T04:21:00Z,0.6,0.6,0.6,19.9,0.7,1420,NA,NA,NA
TO02,2008-01-23T15:53:00Z,1,246.6,4.3,307.7,5.5,302,NA,NA,NA
MC06,2010-12-21T00:00:00Z,1.7,215.8,2.4,262.3,3.1,442,NA,NA,NA
AT07,2005-01-10T19:45:00Z,0.2,217.4,16.8,269.9,11.7,1173,NA,NA,NA
MC00,2009-12-07T02:30:00Z,10.5,NA,NA,324.1,5.8,1223,NA,NA,NA
RG01,2009-02-08T10:40:00Z,1.3,66.8,0.5,84.3,0.5,1524,NA,NA,NA
GV01,2003-11-02T15:44:00Z,0.3,1.5,1.8,22.4,2.8,1502,NA,NA,NA
RG01,2003-03-15T00:37:00Z,3.2,76.1,0.9,101.5,0.4,1390,25.5,7.9,0.2
BC02,2012-04-26T02:00:00Z,0.8,68.4,2.7,74.3,0.8,289,NA,NA,NA
MC00,2006-05-22T08:54:00Z,0.7,28.5,3.5,54.2,4.7,393,NA,NA,NA
DV01,2005-03-19T17:30:00Z,5.9,307.7,1.4,378.1,1,5,NA,NA,NA
RS02,2004-12-31T02:58:00Z,1,76.6,3,94.9,2.3,221,NA,NA,NA
AB00,2005-01-03T11:01:00Z,1.4,117.1,13.2,147.3,11.5,482,NA,NA,NA
MC00,2005-05-08T10:16:00Z,0.9,35.6,0.5,41.1,2.5,1047,8.7,1.3,0.1
RG01,2005-02-19T23:00:00Z,1.5,78.1,NA,113.2,2.8,441,NA,NA,38.8
ON02,2004-12-31T09:12:00Z,11.6,609.3,0.9,555.5,0.8,403,16257.1,1316.1,650.1
GV01,2005-12-31T21:17:00Z,0.1,21.2,2.2,49.9,2.7,1062,NA,NA,NA
GV01,2005-11-09T03:44:00Z,0.1,5.2,NA,31,0.6,1342,NA,NA,NA
BC02,2010-01-20T22:40:00Z,2.7,372.4,2.4,453.3,10.6,483,NA,NA,NA
HO00,2011-02-19T12:42:00Z,14.5,22.5,NA,43.1,0.4,533,NA,NA,NA
RG01,2005-03-26T09:02:00Z,0.2,203.6,0.8,203.8,0.2,1025,46.4,5.8,1.1
MC00,2010-02-27T05:10:00Z,0.9,137.2,4.6,214.1,6,246,NA,NA,NA
GV01,2006-03-06T12:18:00Z,0.2,7.6,0.8,18.9,0.8,1304,NA,NA,NA
BC02,2009-02-16T17:55:00Z,36.2,367.1,3.5,453.8,4.1,618,NA,NA,NA
RG01,2005-01-08T14:01:00Z,0.2,100,3.9,126.7,2.8,264,NA,NA,NA
TO02,2006-01-14T20:05:00Z,0.2,555.4,0.1,548.9,0.4,1540,NA,NA,NA
GV01,2003-11-09T02:42:00Z,0.1,6.6,2.2,55.4,3.1,1123,NA,NA,NA
AB00,2009-12-02T15:35:00Z,1.1,50,0.2,86.4,1.6,1382,NA,NA,NA
RS02,2012-03-25T10:15:00Z,0.1,5.5,0.4,17.6,0.8,695,NA,NA,NA
ON02,2004-10-21T04:15:00Z,68.8,49.2,5.5,272.8,7.1,975,5277.3,658.9,61.3
AB00,2008-12-15T18:35:00Z,2.4,48.9,6.3,82.1,6.8,756,NA,NA,NA
DV01,2006-09-14T07:30:00Z,15.5,12,0.9,91.6,1.6,4975,NA,NA,NA
MC00,2010-02-28T03:10:00Z,0.5,205.6,3.2,262,3.8,NA,NA,NA,NA
AT07,2006-03-21T12:41:00Z,1.5,20.2,3,40.6,3.1,900,NA,NA,NA
BC02,2004-12-27T18:50:00Z,1.4,421.4,12.5,487.1,16.2,967,NA,NA,NA
RS02,2008-01-27T23:03:00Z,0.3,109.3,0.4,129.5,0.2,248,NA,NA,NA
RG01,2012-03-18T06:00:00Z,0.4,196.6,NA,269.8,0.8,1672,NA,NA,NA
RS02,2004-09-29T16:21:00Z,0.2,NA,1.9,10.4,4.8,966,NA,NA,NA
RS02,2009-02-07T21:19:00Z,5,29.8,2.3,55.5,2,866,NA,NA,NA
BC02,2005-01-28T10:41:00Z,0.2,610.5,4.7,597.2,4,1450,NA,NA,NA
RG01,2004-12-31T13:49:00Z,0.5,176.2,3.8,210.5,1.5,310,872.7,88.4,43
SP02,2009-02-17T04:20:00Z,4.4,215.3,8.3,265.8,8.2,429,NA,NA,NA
DV01,2005-02-21T05:55:00Z,2.8,34.2,15.1,112.9,14.7,339,NA,NA,NA
ON02,2005-02-19T16:57:00Z,4.3,298.8,2.3,337.4,0.2,358,11475.6,1196.7,251.4
GV01,2009-02-18T04:50:00Z,0.6,7.5,1.2,24.5,1.2,1272,NA,NA,NA
